Customer_ID,Customer_Name,Age,Gender,Phone,Email,Address,City,State,Pincode,Driving_License_No
CUST00001,Priya Warrior,57,Female,08665431519,tarak53@example.com,"H.No. 74, Choudhry Street, Sasaram 475456",Bokaro,Gujarat,307676,MJ09 9162327591
CUST00002,Vedhika Subramaniam,67,Male,+915693401952,chakradevrau@example.net,"H.No. 62, Buch Circle, Kakinada-811466",Loni,Chhattisgarh,981918,FY76 6761153378
CUST00003,Dev Sundaram,53,Male,03688930663,warjasnagi@example.net,"76/788, Manda Marg, Tiruppur 193581",Anand,Tripura,889331,NR50 5293554676
CUST00004,Lohit Gala,40,Male,3502512752,kdhawan@example.com,"66/00, Sagar Chowk, Bareilly 074248",Panchkula,Mizoram,496065,QH63 4412527539
CUST00005,Gaurangi Lall,55,Female,3646313533,grewaldevansh@example.org,"68/582, Saraf Ganj, Gwalior-044195",Sagar,Nagaland,446193,DL55 8664889502
CUST00006,Bhavya Dalal,47,Male,0589394654,jairaj05@example.org,"H.No. 50, Kara, Gangtok-926142",Amroha,Punjab,168591,BQ00 3916744772
CUST00007,Pranav Sekhon,33,Male,0229097516,dhriti04@example.net,"12/845, Bose Road, Arrah-422432",Aurangabad,Assam,893047,HU77 7451344714
CUST00008,Gaurav Ravi,52,Female,02432947854,nadkarnimeghana@example.org,"H.No. 85, Thaker Marg, Ludhiana 395682",Dehradun,Punjab,056207,HU96 3414153818
CUST00009,Samesh Saxena,51,Male,6706339001,charanchanda@example.com,"H.No. 957, Srinivasan Road, Amritsar-129095",Mira-Bhayandar,West Bengal,672581,HG52 3057961305
CUST00010,Meera Mane,67,Male,08875729211,viyengar@example.org,"H.No. 964, Iyer Circle, Gandhidham 683007",Mahbubnagar,Uttar Pradesh,032857,CL91 0384490459
CUST00011,Gaurav Ahuja,58,Female,7575284120,devanshramaswamy@example.net,"21/924, Vig Nagar, Ramagundam 272225",Rajpur Sonarpur,Nagaland,185878,TK91 8578673439
CUST00012,Anjali Sha,62,Female,+915812607941,vrishtilad@example.com,"H.No. 141, Chaudhuri Road, Bulandshahr-939860",Maheshtala,Rajasthan,017046,NA26 0197494868
CUST00013,Kai Saxena,45,Female,+915940877098,varenya99@example.net,"33/245, Shroff Chowk, Guntur 153575",Ahmednagar,Telangana,097334,EL54 8483612764
CUST00014,Naveen Ghose,58,Male,4747594146,rtara@example.net,"H.No. 53, Natt Circle, Sagar 678785",Rajahmundry,Chhattisgarh,785661,UF75 2324810557
CUST00015,Xavier Saxena,60,Female,+916513978454,zrajagopal@example.com,"55/581, Sawhney Ganj, Udaipur 948575",Bhavnagar,Bihar,548645,PP90 3108677512
CUST00016,Raghav Sridhar,61,Male,04496967243,xkumer@example.net,"19, Deshpande Path, Patna 151107",Khandwa,Tamil Nadu,613440,ML83 4237114392
CUST00017,Lakshmi Zacharia,60,Male,05828024570,yashicavasa@example.com,"34/57, Sehgal Road, Rampur-298497",Jamnagar,Goa,358418,NU51 5559788736
